Family_Name,Total_Languages,Endangered_Languages,Endangerment_Rate_Percentage
caddoan,5,3,60.00
guahiban,5,3,60.00
kiowa-tanoan,5,3,60.00
algic,30,17,56.67
panoan,11,6,54.55
penutian,22,12,54.55
pama-nyungan,107,58,54.21
mangrida,4,2,50.00
cacua-nukak,2,1,50.00
cahuapanan,2,1,50.00
chimakuan,2,1,50.00
uru-chipaya,2,1,50.00
matacoan,4,2,50.00
arauan,4,2,50.00
ijoid,2,1,50.00
keresan,2,1,50.00
haida,2,1,50.00
tequistlatecan,2,1,50.00
south andamanese,2,1,50.00
kadu,2,1,50.00
darwin region,2,1,50.00
wappo-yukian,2,1,50.00
salishan,19,9,47.37
uto-aztecan,38,18,47.37
quechuan,11,5,45.45
nakh-daghestanian,28,12,42.86
northwest caucasian,5,2,40.00
nyulnyulan,5,2,40.00
lakes plain,5,2,40.00
dravidian,22,8,36.36
khoe-kwadi,6,2,33.33
solomons east papuan,3,1,33.33
kxa,3,1,33.33
eleman,3,1,33.33
baining-taulil,3,1,33.33
eskimo-aleut,10,3,30.00
mayan,34,10,29.41
sino-tibetan,126,37,29.37
western daly,4,1,25.00
kordofanian,8,2,25.00
kartvelian,4,1,25.00
uralic,25,6,24.00
oto-manguean,53,12,22.64
lower sepik-ramu,9,2,22.22
tai-kadai,18,4,22.22
border,5,1,20.00
hmong-mien,5,1,20.00
austro-asiatic,47,8,17.02
altaic,53,9,16.98
huitotoan,6,1,16.67
skou,6,1,16.67
eastern sudanic,43,6,13.95
indo-european,139,19,13.67
austronesian,316,38,12.03
afro-asiatic,130,14,10.77
mixe-zoque,10,1,10.00
other,67,3,4.48
central sudanic,25,1,4.00
niger-congo,312,12,3.85
mande,27,1,3.70
trans-new guinea,86,2,2.33
torricelli,13,0,0.00
sepik,16,0,0.00
timor-alor-pantar,7,0,0.00
west papuan,13,0,0.00
awin-pare,1,0,0.00
ainu,1,0,0.00
chukotko-kamchatkan,5,0,0.00
left may,2,0,0.00
anêm,1,0,0.00
senagi,2,0,0.00
marind,6,0,0.00
morehead and upper maro rivers,3,0,0.00
west bomberai,2,0,0.00
bangime,1,0,0.00
basque,2,0,0.00
east geelvink bay,1,0,0.00
tor-orya,2,0,0.00
berta,1,0,0.00
burushaski,1,0,0.00
candoshi,1,0,0.00
saharan,4,0,0.00
japanese,2,0,0.00
chiquito,1,0,0.00
cofán,1,0,0.00
teberan-pawaian,3,0,0.00
dagan,1,0,0.00
dogon,3,0,0.00
bosavi,2,0,0.00
morwap,1,0,0.00
kwomtari-baibai,3,0,0.00
yatê,1,0,0.00
fur,1,0,0.00
gaagudju,1,0,0.00
garrwan,1,0,0.00
nivkh,1,0,0.00
gogodala-suki,2,0,0.00
mascoian,2,0,0.00
gumuz,1,0,0.00
piawi,1,0,0.00
iranxe,1,0,0.00
kwerba,2,0,0.00
kariri,1,0,0.00
karkar-yuri,1,0,0.00
kaure,1,0,0.00
nimboran,2,0,0.00
kolopom,2,0,0.00
koman,1,0,0.00
korean,1,0,0.00
songhay,3,0,0.00
kunama,1,0,0.00
kusunda,1,0,0.00
worrorran,3,0,0.00
laal,1,0,0.00
maban,3,0,0.00
bulaka river,2,0,0.00
east bird's head,2,0,0.00
araucanian,1,0,0.00
western fly,1,0,0.00
misumalpan,2,0,0.00
southern daly,2,0,0.00
east bougainville,3,0,0.00
yanomam,3,0,0.00
mombum,1,0,0.00
yawa,1,0,0.00
monumbo,1,0,0.00
sentani,2,0,0.00
oksapmin,1,0,0.00
páezan,1,0,0.00
mura,1,0,0.00
west bougainville,2,0,0.00
turama-kikorian,1,0,0.00
east strickland,1,0,0.00
sandawe,1,0,0.00
shompen,1,0,0.00
kiwaian,1,0,0.00
nambikuaran,1,0,0.00
sulka,1,0,0.00
kayagar,1,0,0.00
anson bay,1,0,0.00
yale,1,0,0.00
yareban,1,0,0.00
yele,1,0,0.00
yuracare,1,0,0.00
